Experiment,Subject,ID,Procedure[Block],Trial,Prime[Trial],PrimeCondition,Stimuli1,Target[Trial],TargetDefinition.RESP[Trial],ResponseRT,State,StateRT,TargetResponse.RESP[Trial],TargetResponse.RT[Trial],TargetAccuracy,PrimeIntrusion,PrimeResponse,PrimeResponseRT,PrimeResp_ACC,RTRecognisePrime,RTRecogniseTarget,PrimeDef.RESP,PrimeFirstResp_ACC,PrimeDef.RT
PrimeFlash,6PrimeFlash,6,S6,62,n e u r a l ,P,50,N u r e m b e r g,neuremburg{LEFTARROW}{LEFTARROW}{SPACE},9421,3,2136,nuremberg{SPACE},4182,1,0,,,,,,,,
PrimeFlash,6PrimeFlash,6,S6,70,o b s t r u c t ,P,51,o b s c u r e,{SPACE},5794,2,840,obscure{SPACE},2583,0,0,,,,,,,,
PrimeFlash,6PrimeFlash,6,S6,56,o m n i v o r e ,P,52,o m n i p o t e n t ,omnipotent{SPACE},5210,1,713,omnipotent{SPACE},2805,1,0,,,,,,,,
PrimeFlash,6PrimeFlash,6,S6,57,o s t e o p o r o s i s ,P,53,o s t e n t a t i o u s ,obstentatious,9388,3,1215,ostentatious{SPACE},2581,1,0,,,,,,,,
PrimeFlash,6PrimeFlash,6,S6,22,o s m o s i s,P,54,O s w a l d ,{SHIFT}Oswald{SPACE},5884,1,988,{SHIFT}{SHIFT}Oswald{SPACE},3035,1,0,,,,,,,,
PrimeFlash,6PrimeFlash,6,S6,44,O n t a r i o,B,55,O t t a w a ,t,9342,3,2045,ottawa{SPACE},1797,0,0,,,,,,,,
PrimeFlash,6PrimeFlash,6,S6,16,p l a c e b o,B,56,p a n a c e a,{SPACE},7542,2,1391,panacea{SPACE},1879,0,0,,,,,,,,
PrimeFlash,6PrimeFlash,6,S6,7,p a r a d i g m ,B,57,p a r a g o n,{SPACE},8469,4,4587,paragon{SPACE},3028,0,0,,,,,,,,
PrimeFlash,6PrimeFlash,6,S6,63,p r o m i s c u o u s,B,58,p o l y g a m y ,polyamorous{SPACE},8339,3,2468,polygamy{SPACE},2375,1,0,,,,,,,,
PrimeFlash,6PrimeFlash,6,S6,60,p r o d i g y,B,59,p r e c o c i o u s ,,0,2,1443,precocious{SPACE},3100,0,0,,,,,,,,
PrimeFlash,6PrimeFlash,6,S6,54,p r o g n o s i s,B,60,p r o p h e c y ,predictio,9939,3,2236,prophecy{SPACE},2629,0,0,,,,,,,,
PrimeFlash,6PrimeFlash,6,S6,75,S a i g o n ,B,61,S e o u l,seoul{SPACE},7270,3,1179,seoul{SPACE},1556,1,0,,,,,,,,
PrimeFlash,6PrimeFlash,6,S6,71,S h e l l e y,B,62,S h a w ,{SPACE},4841,2,636,shaw{SPACE},1039,0,0,,,,,,,,
PrimeFlash,6PrimeFlash,6,S6,14,S w i t z e r l a n d,B,63,S i c i l y ,{SPACE},6144,4,2204,{SHIFT}Sicily{SPACE},2791,0,0,,,,,,,,
PrimeFlash,6PrimeFlash,6,S6,21,S o l o ,B,64,S k y w a l k e r,{SHIFT}{SHIFT}{SHIFT}Luke{SPACE},8750,3,3558,{SHIFT}Skywalker{SPACE},2568,0,0,,,,,,,,
PrimeFlash,6PrimeFlash,6,S6,52,s u b s t i t u t e ,B,65,s u r r o g a t e,surrogate{SPACE},3927,1,495,surrogate{SPACE},1962,1,0,,,,,,,,
PrimeFlash,6PrimeFlash,6,S6,50,T o l s t o y,B,66,T h o r e a u,{SPACE},9188,4,1081,thoreau{SPACE},1703,0,0,,,,,,,,
PrimeFlash,6PrimeFlash,6,S6,61,t w i t c h ,B,67,t i c,tic{SPACE},3510,1,3932,tic{SPACE},1547,1,0,,,,,,,,
PrimeFlash,6PrimeFlash,6,S6,48,t y p h o o n,B,68,t s u n a m i,tsunami{SPACE},4858,1,1121,tsunami{SPACE},3152,1,0,,,,,,,,
PrimeFlash,6PrimeFlash,6,S6,38,T e s l a,B,69,T u r i n g ,turing{SPACE},4132,1,995,turing{SPACE},1628,1,0,,,,,,,,
PrimeFlash,6PrimeFlash,6,S6,36,W e a s l e y,B,70,W a t s o n ,watson{SPACE},2573,1,1165,watson{SPACE},3365,1,0,,,,,,,,
PrimeFlash,6PrimeFlash,6,S6,72,W a l k e r ,B,71,W a y n e,wayne{SPACE},3026,1,369,wayne{SPACE},1392,1,0,,,,,,,,
PrimeFlash,6PrimeFlash,6,S6,30,Y o s e m i t e ,B,72,Y e l l o w s t o n e,yellowstone{SPACE},8043,1,1072,yellowstone{SPACE},2657,1,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,76,a b a n d o n,B,1,a b d i c a t e ,{SPACE},6465,2,635,abdicate{SPACE},3061,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,33,a b r o a d ,B,2,a b o r i g i n e,aboriginals{SPACE},8790,1,2396,aborigine{SPACE},2428,1,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,42,a v o i d,B,3,a b s t a i n,{SPACE},7749,2,1688,abstain{SPACE},2901,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,65,a d v a n c e,B,4,a d v o c a t e ,advocate{SPACE},5872,3,1188,advocate{SPACE},2724,1,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,21,A u s t e n ,B,5,A l c o t t ,{SPACE},6353,4,3104,alcott{SPACE},1291,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,30,a b n o r m a l i t y,B,6,a n a c h r o n i s m,{SPACE},7842,2,1153,anachronism{SPACE},2645,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,69,a c r o n y m,B,7,a n a g r a m,{SPACE},9375,2,2252,anagram{SPACE},1797,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,45,A l p s ,B,8,A n d e s,{SPACE},8660,2,1360,andes{SPACE},1280,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,53,A r i e l,B,9,A u r o r a ,aurora{SPACE},5388,1,980,aurora{SPACE},2460,1,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,43,B e i j i n g,B,10,B a n g k o k,bangkok{SPACE},7017,1,1724,bangkok{SPACE},1596,1,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,74,b a r g a i n,B,11,b a r t e r ,{SPACE},7440,2,913,barter{SPACE},1301,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,9,B u c k i n g h a m ,B,12,B e c k h a m,{SPACE},3855,2,746,beckham{SPACE},3370,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,46,b i l a t e r a l,B,13,b i n o m i a l ,equation{SPACE},7114,3,1656,binomial{SPACE},2188,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,28,c o r p s e ,B,14,c a r c a s s,fossil{SPACE},5597,3,2140,carcass{SPACE},2093,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,22,C h r i s t i e ,B,15,C a r r o l l,{SPACE},6772,2,5169,carrol{SPACE},3613,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,50,c a m o f l a u g e ,B,16,c h a m e l e o n,chameleon{SPACE},5627,1,1528,chameleon{SPACE},2239,1,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,61,C h a m b e r l a i n,B,17,C h u r c h i l l,{SPACE},2547,2,1701,churchhill{SPACE},2193,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,26,C o n r a d ,B,18,C l e m e n s,{SPACE},3935,2,694,clemens{SPACE},2990,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,35,i m p l e m e n t,U,19,c o n g r u e n t,{SPACE},8932,2,389,congruent{SPACE},2275,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,11,J a c k m a n,U,20,C o n n e r y,{SPACE},5885,2,1600,connery{SPACE},1653,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,57,l a b e l,U,21,c o v e n a n t ,{SPACE},4968,2,530,covenant{SPACE},1981,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,15,l o c k e t ,U,22,D a n t e,dante{SPACE},5807,1,1590,dante{SPACE},1481,1,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,37,M a n d a r i n ,U,23,d e f a u l t,{SPACE},4949,2,1568,default{SPACE},2605,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,10,m e d i u m ,U,24,d e p l e t e,,0,4,2589,deplete{SPACE},2621,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,32,O n t a r i o,U,25,d i v e r g e,{SPACE},7869,2,1274,diverge{SPACE},1761,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,16,p l a c e b o,U,26,e c c e n t r i c,{SPACE},9962,2,2334,eccentric{SPACE},1729,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,40,p a r a d i g m ,U,27,e x o r c i s m ,exorcism{SPACE},5586,1,1152,exorcism{SPACE},2375,1,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,51,p r o m i s c u o u s,U,28,F a r a d a y,{SPACE},3855,2,329,faraday{SPACE},2064,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,38,p r o d i g y,U,29,f o l i a g e,branches{SPACE},9372,3,1417,foliage{SPACE},1218,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,34,p r o g n o s i s,U,30,G a r l a n d,{SPACE},3475,2,733,garland{SPACE},1408,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,25,r e s i g n ,U,31,g o s l i n g,gosling{SPACE},4806,1,1079,gosling{SPACE},1471,1,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,5,n a t i v e ,U,32,H a n c o c k,hamil,6494,2,4305,hancock{SPACE},2618,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,7,r e f u s e ,U,33,H e l s i n k i ,{SPACE},3440,2,1611,helsinki{SPACE},2531,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,68,c o n d o n e,U,34,h o i s t,,0,4,1485,hoist{SPACE},1687,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,62,B r o n t e ,U,35,H u s s e i n,{SPACE},6354,2,945,hussein{SPACE},1304,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,70,m i s p l a c e ,U,36,i d i o s y n c r a s y ,{SPACE},8408,2,303,idiosyncracy{SPACE},6560,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,6,m e n t i o n,R,37,i n t e r j e c t,,9418,2,3901,interject{SPACE},2223,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,13,T y l e r,R,38,J a g g e r ,{SPACE},4872,2,886,jagger{SPACE},1958,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,19,p e r j u r y,R,39,l i b e l,,0,4,4228,libel{SPACE},1780,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,67,v e r b o s e,R,40,l o q u a c i o u s ,{SPACE},6923,2,753,loquacious{SPACE},2350,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,24,G a n d h i ,R,41,M a n d e l a,{SPACE},9190,4,2699,mandela{SPACE},1844,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,17,s p a r s e ,R,42,m e a g e r ,{SPACE},9912,2,1614,meager{SPACE},1299,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,2,B o w i e,R,43,M e r c u r y,{SPACE},5670,2,2371,mercury{SPACE},2688,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,23,S h a k e s p e a r e,R,44,M i l l e r ,{SPACE},3938,2,1000,miller{SPACE},1978,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,29,g r a t e,R,45,m i n c e,{SPACE},7252,4,1164,mince{SPACE},1289,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,31,i n v a r i a b l e ,R,46,m o n o t o n y ,{SPACE},7604,2,1741,monotony{SPACE},1818,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,3,H o u s t o n,R,47,M o n r o e ,monroe{SPACE},5262,1,1547,monroe{SPACE},4101,1,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,56,M a d a g a s c a r ,R,48,N a i r o b i,{SPACE},5561,2,953,nairobi{SPACE},1613,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,72,i n v a l i d a t e ,R,49,n u l l i f y,{SPACE},9360,2,734,nullify{SPACE},1797,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,36,B e r l i n ,R,50,N u r e m b e r g,auschwitz,9970,4,2229,nuremburg{SPACE},6073,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,73,s e c r e t i v e,R,51,o b s c u r e,{SPACE},9272,2,1145,obscure{SPACE},2879,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,27,u n l i m i t e d,R,52,o m n i p o t e n t ,omipotent{SPACE},5710,1,1096,omnipotent{SPACE},2270,1,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,18,f l a s h y ,R,53,o s t e n t a t i o u s ,,0,2,6367,ostentatious{SPACE},2861,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,49,B o o t h,R,54,O s w a l d ,wi,9974,4,1753,oswald{SPACE},2184,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,63,o t t e r,P,55,O t t a w a ,ottawa{SPACE},3280,3,1699,ottawa{SPACE},1601,1,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,71,p a n d a,P,56,p a n a c e a,antidote{SPACE},4807,3,1192,panacea{SPACE},4112,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,12,p a r a c h u t e,P,57,p a r a g o n,id,9967,4,4018,paragon{SPACE},1663,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,47,p o l y g o n,P,58,p o l y g a m y ,polygamy{SPACE},4607,1,968,polygamy{SPACE},3670,1,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,48,p r e c a r i o u s ,P,59,p r e c o c i o u s ,{SPACE},8185,2,681,precocious{SPACE},3300,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,54,p r o f e s s o r,P,60,p r o p h e c y ,prophecy,9795,4,2183,prophecy{SPACE},2350,1,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,8,s o f a ,P,61,S e o u l,{SPACE},3510,4,6527,seoul{SPACE},1937,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,52,s h i p ,P,62,S h a w ,{SPACE},3816,2,164,shaw{SPACE},1517,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,66,s i z z l e ,P,63,S i c i l y ,{SPACE},4990,2,711,sicily{SPACE},2352,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,60,s k y s c r a p e r ,P,64,S k y w a l k e r,skywalker{SPACE},4371,1,1383,skywalker{SPACE},2192,1,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,55,s u r v i v o r ,P,65,s u r r o g a t e,surrogate{SPACE},3562,1,784,surrogate{SPACE},1647,1,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,41,t h o r n y ,P,66,T h o r e a u,{SPACE},8146,2,1428,thoreau{SPACE},3415,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,14,t i p,P,67,t i c,,0,2,2245,tic{SPACE},2257,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,75,t u r m e r i c ,P,68,t s u n a m i,tsunami{SPACE},3742,1,925,tsunami{SPACE},1607,1,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,44,T u r n e r ,P,69,T u r i n g ,{SPACE},9560,2,1949,turing{SPACE},1693,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,59,W a t t ,P,70,W a t s o n ,wilson{SPACE},5890,3,4213,watson{SPACE},1792,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,64,w a k e ,P,71,W a y n e,luther{SPACE},6749,3,1514,wayne{SPACE},2089,0,0,,,,,,,,
PrimeFlash,7PrimeFlash,7,S7,4,Y e s t e r d a y,P,72,Y e l l o w s t o n e,yellowstone{SPACE},5414,1,1693,yellowstone{SPACE},1903,1,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,72,a b a n d o n,B,1,a b d i c a t e ,abdicate{SPACE},3401,1,182,abdicate{SPACE},2838,1,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,64,a b r o a d ,B,2,a b o r i g i n e,{SPACE},4475,2,654,aboriginal{SPACE},1582,0,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,55,a v o i d,B,3,a b s t a i n,abstain{SPACE},4556,1,729,abstain{SPACE},1196,1,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,32,a d v a n c e,B,4,a d v o c a t e ,{SPACE},2241,2,401,advocate{SPACE},1639,0,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,13,A u s t e n ,B,5,A l c o t t ,{SHIFT}Wilder{SPACE},3226,1,433,{SHIFT}Alcott{SPACE},1620,0,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,34,a b n o r m a l i t y,B,6,a n a c h r o n i s m,{SPACE},9782,4,975,anachronism{ENTER}{SPACE},3335,0,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,54,a c r o n y m,B,7,a n a g r a m,palindrom{SPACE},3698,1,1345,anagram{SPACE},1418,0,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,50,A l p s ,B,8,A n d e s,andes{SPACE},3142,1,621,andes{SPACE},986,1,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,3,A r i e l,B,9,A u r o r a ,{SHIFT}Aurora{SPACE},3285,1,869,{SHIFT}Aurora{SPACE},3259,1,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,66,B e i j i n g,B,10,B a n g k o k,bangkok{SPACE},3827,1,843,bangkok{SPACE},1303,1,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,36,b a r g a i n,B,11,b a r t e r ,{SPACE},1276,1,1678,barter{ENTER}{SPACE},1552,0,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,40,B u c k i n g h a m ,B,12,B e c k h a m,{SHIFT}Beckham{SPACE},3144,1,480,{SHIFT}Beckham{SPACE},1327,1,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,74,b i l a t e r a l,B,13,b i n o m i a l ,binomial{SPACE},4192,1,728,binomial{SPACE},2103,1,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,48,c o r p s e ,B,14,c a r c a s s,carcass{SPACE},3211,1,495,carcass{SPACE},1128,1,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,11,C h r i s t i e ,B,15,C a r r o l l,{SHIFT}Carroll{SPACE},5425,1,651,{SHIFT}Carroll{SPACE},1513,1,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,26,c a m o f l a u g e ,B,16,c h a m e l e o n,{SHIFT}Chameleon{SPACE},5764,1,927,{SHIFT}Chamelon{SPACE},1821,1,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,73,C h a m b e r l a i n,B,17,C h u r c h i l l,churchill{SPACE},4877,1,636,churchill{SPACE},1919,1,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,43,C o n r a d ,B,18,C l e m e n s,{SHIFT}Clemons{SPACE},3517,1,421,{SHIFT}Clemons{SPACE},1284,1,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,57,m u r d e r ,U,19,c o n g r u e n t,{SPACE},2281,2,422,congruent{SPACE},1450,0,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,52,m i l i t a r y ,U,20,C o n n e r y,{SHIFT}Connery{SPACE},3502,1,568,connery{SPACE},1190,1,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,2,m i l k ,U,21,c o v e n a n t ,{SHIFT}{SPACE},3430,2,1008,{SHIFT}Covenant{SPACE},2025,0,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,9,m o n o p o l y ,U,22,D a n t e,{SHIFT}Dante{SPACE},3208,1,714,{SHIFT}Dante{SPACE},1115,1,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,69,M o n a r c h,U,23,d e f a u l t,{SPACE},2165,2,231,default{SPACE},1138,0,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,42,n a r r a t e,U,24,d e p l e t e,{SPACE},1981,2,631,deplete{SPACE},1283,0,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,35,S a i g o n ,U,25,d i v e r g e,{SHIFT}Diverge{SPACE},4920,3,1029,diverge{SPACE},1427,1,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,28,S h e l l e y,U,26,e c c e n t r i c,{SHIFT}{SPACE},2756,2,356,eccentric{SPACE},2191,0,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,70,S w i t z e r l a n d,U,27,e x o r c i s m ,{SPACE},2450,2,344,exor{SPACE},3534,0,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,61,S o l o ,U,28,F a r a d a y,faraday{SPACE},3861,1,575,faraday{SPACE},1127,1,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,37,s u b s t i t u t e ,U,29,f o l i a g e,leaf{SPACE},2993,4,415,foliage{SPACE},1940,0,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,7,T o l s t o y,U,30,G a r l a n d,{SHIFT},9521,4,3057,{SHIFT}Garland{SPACE},2240,0,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,8,p u z z l e ,U,31,g o s l i n g,{SHIFT}{SPACE},3670,2,547,{SHIFT}Gosling{SPACE},1946,0,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,53,H i m a l a y a s,U,32,H a n c o c k,hancock{SPACE},3730,1,402,hancock{SPACE},1925,1,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,75,C i n d e r e l l a ,U,33,H e l s i n k i ,helsinki{SPACE},2301,1,410,helsinki{SPACE},1634,1,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,65,V i e t n a m,U,34,h o i s t,{SPACE},2365,2,242,hoist{SPACE},852,0,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,62,t a r i f f ,U,35,H u s s e i n,hussein{SPACE},3911,1,303,hussein{SPACE},1495,1,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,41,M e s s i,U,36,i d i o s y n c r a s y ,{SPACE},2419,2,441,idiosyncracy{ENTER}{SPACE},5379,0,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,24,m e n t i o n,R,37,i n t e r j e c t,{SPACE},5047,2,321,{SHIFT}Interject{SPACE},1678,0,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,45,T y l e r,R,38,J a g g e r ,{SHIFT}Jager{SPACE},2810,1,831,{SHIFT}Jagger{SPACE},1364,1,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,47,p e r j u r y,R,39,l i b e l,{SPACE},2545,3,819,libel{SPACE},844,0,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,16,v e r b o s e,R,40,l o q u a c i o u s ,{SHIFT}Gregarious{SPACE},6915,1,366,{SHIFT}Gregarious{SPACE},1782,0,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,38,G a n d h i ,R,41,M a n d e l a,{SHIFT}Mandela{SPACE},2771,1,184,{SHIFT}Mandela{SPACE},1488,1,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,14,s p a r s e ,R,42,m e a g e r ,{SPACE},4112,2,256,{SHIFT}Meager{SPACE},1318,0,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,5,B o w i e,R,43,M e r c u r y,{SHIFT}Mercury{SPACE},5448,1,606,{SHIFT}Mercury{SPACE},1822,1,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,10,S h a k e s p e a r e,R,44,M i l l e r ,{SPACE},3099,2,678,{SHIFT}Miller{SPACE},1157,0,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,49,g r a t e,R,45,m i n c e,{SPACE},2298,2,790,mince{SPACE},1042,0,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,71,i n v a r i a b l e ,R,46,m o n o t o n y ,{SPACE},3063,2,577,monotony{SPACE},1363,0,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,6,H o u s t o n,R,47,M o n r o e ,{SHIFT}Monroe{SPACE},5999,1,722,{SHIFT}Monroe{SPACE},2253,1,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,46,M a d a g a s c a r ,R,48,N a i r o b i,{SHIFT}Nairobi{SPACE},3209,1,668,{SHIFT}{SHIFT}Nairobi{SPACE},2163,1,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,17,i n v a l i d a t e ,R,49,n u l l i f y,{SHIFT}{SPACE},3783,2,632,nullify{SPACE},1472,0,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,63,B e r l i n ,R,50,N u r e m b e r g,nuremburg{SPACE},3936,1,198,nuremburg{SPACE},1866,1,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,59,s e c r e t i v e,R,51,o b s c u r e,unknown{SPACE},6664,3,442,obscure{SPACE},2101,0,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,25,u n l i m i t e d,R,52,o m n i p o t e n t ,{SPACE},1899,2,742,{SHIFT}Omnipotent{SPACE},2258,0,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,51,f l a s h y ,R,53,o s t e n t a t i o u s ,{SPACE},1232,2,240,{SPACE},1255,0,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,15,B o o t h,R,54,O s w a l d ,{SHIFT}Oswald{SPACE},3931,1,672,{SHIFT}Oswald{SPACE},1960,1,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,68,o t t e r,P,55,O t t a w a ,ottawa{SPACE},2387,1,333,ottawa{SPACE},1882,1,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,31,p a n d a,P,56,p a n a c e a,{SHIFT}{SPACE},2737,2,432,panacea{SPACE},1746,0,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,12,p a r a c h u t e,P,57,p a r a g o n,{SHIFT}Epitome{SPACE},4924,1,536,paragon{SPACE},1580,0,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,29,p o l y g o n,P,58,p o l y g a m y ,polygamy{SPACE},3617,1,489,polygamy{SPACE},3478,1,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,44,p r e c a r i o u s ,P,59,p r e c o c i o u s ,{SHIFT}{SHIFT}{SHIFT}Prodigy{SPACE},7169,3,238,precocious{SPACE},1905,0,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,22,p r o f e s s o r,P,60,p r o p h e c y ,{SHIFT}Foreshadow{SPACE},6871,1,133,{SHIFT}Prophesy{SPACE},2153,0,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,19,s o f a ,P,61,S e o u l,{SHIFT}Seoul{SPACE},2438,1,559,{SHIFT}Seoul{SPACE},1082,1,0,,,,,,,,
PrimeFlash,8PrimeFlash,8,S8,33,s h i p ,P,62,S h a w ,{SPACE},2962,2,642,shaw{SPACE},1120,0,0,,,,,,,,
